# Please take the real part 
                  # kx (1/A)                    ky (1/A)                    kz (1/A)               real(Omega_x)               real(Omega_y)               real(Omega_z)
           -0.5506713110E+00            0.4674204260E+00            0.0000000000E+00            0.4617539418E+01            0.2832667163E-02            0.4868296797E+01
           -0.5506713110E+00            0.4773655414E+00            0.0000000000E+00            0.4389577965E+01            0.2510940834E-02            0.4736314864E+01
           -0.5506713110E+00            0.4873106568E+00            0.0000000000E+00            0.4154910497E+01            0.2123037174E-02            0.4600303983E+01
           -0.5506713110E+00            0.4972557723E+00            0.0000000000E+00            0.3914966909E+01            0.1685489710E-02            0.4461200729E+01
  
           -0.5396578848E+00           -0.4972557723E+00            0.0000000000E+00           -0.3897431189E+01           -0.1898341991E+00           -0.4362420754E+01
           -0.5396578848E+00           -0.4873106568E+00            0.0000000000E+00           -0.4135692710E+01           -0.1919633017E+00           -0.4501286877E+01
           -0.5396578848E+00           -0.4773655414E+00            0.0000000000E+00           -0.4368566284E+01           -0.1939059916E+00           -0.4637110642E+01
           -0.5396578848E+00           -0.4674204260E+00            0.0000000000E+00           -0.4594601608E+01           -0.1956226769E+00           -0.4768949475E+01
           -0.5396578848E+00           -0.4574753105E+00            0.0000000000E+00           -0.4812372180E+01           -0.1970731129E+00           -0.4895836049E+01
           -0.5396578848E+00           -0.4475301951E+00            0.0000000000E+00           -0.5020499395E+01           -0.1982176921E+00           -0.5016789370E+01
           -0.5396578848E+00           -0.4375850796E+00            0.0000000000E+00           -0.5217677873E+01           -0.1990187964E+00           -0.5130825530E+01
           -0.5396578848E+00           -0.4276399642E+00            0.0000000000E+00           -0.5402701204E+01           -0.1994421040E+00           -0.5236967307E+01
           -0.5396578848E+00           -0.4176948487E+00            0.0000000000E+00           -0.5574487031E+01           -0.1994577265E+00           -0.5334251654E+01
           -0.5396578848E+00           -0.4077497333E+00            0.0000000000E+00           -0.5732100138E+01           -0.1990410418E+00           -0.5421733922E+01
           -0.5396578848E+00           -0.3978046178E+00            0.0000000000E+00           -0.5874771912E+01           -0.1981730872E+00           -0.5498487451E+01
           -0.5396578848E+00           -0.3878595024E+00            0.0000000000E+00           -0.6001914269E+01           -0.1968403843E+00           -0.5563597040E+01
           -0.5396578848E+00           -0.3779143869E+00            0.0000000000E+00           -0.6113125855E+01           -0.1950340806E+00           -0.5616144602E+01
           -0.5396578848E+00           -0.3679692715E+00            0.0000000000E+00           -0.6208188099E+01           -0.1927483198E+00           -0.5655185313E+01
           -0.5396578848E+00           -0.3580241561E+00            0.0000000000E+00           -0.6287048461E+01           -0.1899777824E+00           -0.5679712578E+01
           -0.5396578848E+00           -0.3480790406E+00            0.0000000000E+00           -0.6349788063E+01           -0.1867143808E+00           -0.5688610465E+01
           -0.5396578848E+00           -0.3381339252E+00            0.0000000000E+00           -0.6396570852E+01           -0.1829431491E+00           -0.5680592905E+01
           -0.5396578848E+00           -0.3281888097E+00            0.0000000000E+00           -0.6427571565E+01           -0.1786374435E+00           -0.5654130200E+01
           -0.5396578848E+00           -0.3182436943E+00            0.0000000000E+00           -0.6442880215E+01           -0.1737536759E+00           -0.5607365538E+01
           -0.5396578848E+00           -0.3082985788E+00            0.0000000000E+00           -0.6442381982E+01           -0.1682259612E+00           -0.5538027651E+01
           -0.5396578848E+00           -0.2983534634E+00            0.0000000000E+00           -0.6425613557E+01           -0.1619612854E+00           -0.5443351046E+01
           -0.5396578848E+00           -0.2884083479E+00            0.0000000000E+00           -0.6391601040E+01           -0.1548361123E+00           -0.5320022823E+01
           -0.5396578848E+00           -0.2784632325E+00            0.0000000000E+00           -0.6338691222E+01           -0.1466957491E+00           -0.5164185194E+01
           -0.5396578848E+00           -0.2685181170E+00            0.0000000000E+00           -0.6264398384E+01           -0.1373582379E+00           -0.4971534666E+01
           -0.5396578848E+00           -0.2585730016E+00            0.0000000000E+00           -0.6165303034E+01           -0.1266249155E+00           -0.4737570039E+01
           -0.5396578848E+00           -0.2486278861E+00            0.0000000000E+00           -0.6037055980E+01           -0.1142998343E+00           -0.4458046196E+01
           -0.5396578848E+00           -0.2386827707E+00            0.0000000000E+00           -0.5874556351E+01           -0.1002195611E+00           -0.4129679556E+01
           -0.5396578848E+00           -0.2287376553E+00            0.0000000000E+00           -0.5672376423E+01           -0.8429296230E-01           -0.3751111013E+01
           -0.5396578848E+00           -0.2187925398E+00            0.0000000000E+00           -0.5425484888E+01           -0.6654707720E-01           -0.3324051620E+01
           -0.5396578848E+00           -0.2088474244E+00            0.0000000000E+00           -0.5130258616E+01           -0.4717030604E-01           -0.2854416074E+01
           -0.5396578848E+00           -0.1989023089E+00            0.0000000000E+00           -0.4785665916E+01           -0.2653933958E-01           -0.2353118220E+01
           -0.5396578848E+00           -0.1889571935E+00            0.0000000000E+00           -0.4394373377E+01           -0.5214368792E-02           -0.1836127513E+01
           -0.5396578848E+00           -0.1790120780E+00            0.0000000000E+00           -0.3963431418E+01            0.1610851229E-01           -0.1323453569E+01
           -0.5396578848E+00           -0.1690669626E+00            0.0000000000E+00           -0.3504208873E+01            0.3668673814E-01           -0.8369914368E+00
           -0.5396578848E+00           -0.1591218471E+00            0.0000000000E+00           -0.3031423413E+01            0.5584499200E-01           -0.3975712071E+00
           -0.5396578848E+00           -0.1491767317E+00            0.0000000000E+00           -0.2561412789E+01            0.7308251808E-01           -0.2193167295E-01
           -0.5396578848E+00           -0.1392316162E+00            0.0000000000E+00           -0.2110076665E+01            0.8814200156E-01            0.2795429413E+00
           -0.5396578848E+00           -0.1292865008E+00            0.0000000000E+00           -0.1691034663E+01            0.1010209177E+00            0.5037247689E+00
           -0.5396578848E+00           -0.1193413854E+00            0.0000000000E+00           -0.1314430041E+01            0.1119271083E+00            0.6541722582E+00
           -0.5396578848E+00           -0.1093962699E+00            0.0000000000E+00           -0.9865359642E+00            0.1211982630E+00            0.7394570124E+00
           -0.5396578848E+00           -0.9945115446E-01            0.0000000000E+00           -0.7100453067E+00            0.1292121596E+00            0.7710071972E+00
           -0.5396578848E+00           -0.8950603901E-01            0.0000000000E+00           -0.4847658836E+00            0.1363104697E+00            0.7610571957E+00
           -0.5396578848E+00           -0.7956092357E-01            0.0000000000E+00           -0.3084287881E+00            0.1427487703E+00            0.7210809372E+00
           -0.5396578848E+00           -0.6961580812E-01            0.0000000000E+00           -0.1774004256E+00            0.1486750971E+00            0.6608370588E+00
           -0.5396578848E+00           -0.5967069268E-01            0.0000000000E+00           -0.8720011945E-01            0.1541324548E+00            0.5879686665E+00
           -0.5396578848E+00           -0.4972557723E-01            0.0000000000E+00           -0.3281598654E-01            0.1590777579E+00            0.5080094965E+00
           -0.5396578848E+00           -0.3978046178E-01            0.0000000000E+00           -0.8863972276E-02            0.1634095868E+00            0.4246339804E+00
           -0.5396578848E+00           -0.2983534634E-01            0.0000000000E+00           -0.9651980881E-02            0.1669984814E+00            0.3400175248E+00
           -0.5396578848E+00           -0.1989023089E-01            0.0000000000E+00           -0.2920507243E-01            0.1697151834E+00            0.2552167467E+00
           -0.5396578848E+00           -0.9945115446E-02            0.0000000000E+00           -0.6129081675E-01            0.1714537765E+00            0.1705205758E+00
           -0.5396578848E+00            0.0000000000E+00            0.0000000000E+00           -0.9946472372E-01            0.1721478815E+00            0.8575513035E-01
           -0.5396578848E+00            0.9945115446E-02            0.0000000000E+00           -0.1371391662E+00            0.1717789861E+00            0.5470016327E-03
           -0.5396578848E+00            0.1989023089E-01            0.0000000000E+00           -0.1676676969E+00            0.1703766933E+00           -0.8543756079E-01
           -0.5396578848E+00            0.2983534634E-01            0.0000000000E+00           -0.1844309848E+00            0.1680112437E+00           -0.1722543683E+00
           -0.5396578848E+00            0.3978046178E-01            0.0000000000E+00           -0.1809109977E+00            0.1647791602E+00           -0.2594210685E+00
           -0.5396578848E+00            0.4972557723E-01            0.0000000000E+00           -0.1507466011E+00            0.1607833213E+00           -0.3456184762E+00
           -0.5396578848E+00            0.5967069268E-01            0.0000000000E+00           -0.8777626974E-01            0.1561092457E+00           -0.4283502767E+00
           -0.5396578848E+00            0.6961580812E-01            0.0000000000E+00            0.1390877880E-01            0.1507999115E+00           -0.5035798317E+00
           -0.5396578848E+00            0.7956092357E-01            0.0000000000E+00            0.1598576256E+00            0.1448321185E+00           -0.5653945639E+00
           -0.5396578848E+00            0.8950603901E-01            0.0000000000E+00            0.3550385174E+00            0.1380982697E+00           -0.6057887313E+00
           -0.5396578848E+00            0.9945115446E-01            0.0000000000E+00            0.6034390888E+00            0.1303984092E+00           -0.6146972083E+00
           -0.5396578848E+00            0.1093962699E+00            0.0000000000E+00            0.9074455233E+00            0.1214480230E+00           -0.5804392083E+00
           -0.5396578848E+00            0.1193413854E+00            0.0000000000E+00            0.1267019340E+01            0.1109066722E+00           -0.4907135069E+00
           -0.5396578848E+00            0.1292865008E+00            0.0000000000E+00            0.1678793077E+01            0.9842983104E-01           -0.3341930319E+00
           -0.5396578848E+00            0.1392316162E+00            0.0000000000E+00            0.2135327901E+01            0.8374046820E-01           -0.1025805665E+00
           -0.5396578848E+00            0.1491767317E+00            0.0000000000E+00            0.2624861018E+01            0.6670845476E-01            0.2072589171E+00
           -0.5396578848E+00            0.1591218471E+00            0.0000000000E+00            0.3131842540E+01            0.4741777994E-01            0.5916787113E+00
           -0.5396578848E+00            0.1690669626E+00            0.0000000000E+00            0.3638371180E+01            0.2619879912E-01            0.1039753439E+01
           -0.5396578848E+00            0.1790120780E+00            0.0000000000E+00            0.4126323756E+01            0.3609553819E-02            0.1534256071E+01
           -0.5396578848E+00            0.1889571935E+00            0.0000000000E+00            0.4579674800E+01           -0.1963394681E-01            0.2053980032E+01
           -0.5396578848E+00            0.1989023089E+00            0.0000000000E+00            0.4986389436E+01           -0.4276048767E-01            0.2576795753E+01
           -0.5396578848E+00            0.2088474244E+00            0.0000000000E+00            0.5339422123E+01           -0.6505046927E-01            0.3082600771E+01
           -0.5396578848E+00            0.2187925398E+00            0.0000000000E+00            0.5636685426E+01           -0.8591936220E-01            0.3555451034E+01
           -0.5396578848E+00            0.2287376553E+00            0.0000000000E+00            0.5880187778E+01           -0.1049622887E+00            0.3984541431E+01
           -0.5396578848E+00            0.2386827707E+00            0.0000000000E+00            0.6074727573E+01           -0.1219591060E+00            0.4364113717E+01
           -0.5396578848E+00            0.2486278861E+00            0.0000000000E+00            0.6226535473E+01           -0.1368501878E+00            0.4692631604E+01
           -0.5396578848E+00            0.2585730016E+00            0.0000000000E+00            0.6342137953E+01           -0.1496970340E+00            0.4971626684E+01
           -0.5396578848E+00            0.2685181170E+00            0.0000000000E+00            0.6427563438E+01           -0.1606401274E+00            0.5204540548E+01
           -0.5396578848E+00            0.2784632325E+00            0.0000000000E+00            0.6487892076E+01           -0.1698620949E+00            0.5395756077E+01
